"","from_id","from_name","message","created_time","type","link","id","story","likes_count","comments_count","shares_count"
"28","94971738769","Next","Get suited and booted *just* in time for wedding season!

SHOP: ow.ly/fPFp30cAhjl","2017-06-21T11:00:00+0000","video","https://www.facebook.com/nextofficial/videos/10155370884138770/","94971738769_10155370884138770",NA,56,2,3
"29","94971738769","Next","***Congrats, Natasha Photiou. You're our winner! Please PM us with your details***

GIVEAWAY TIME!

You've got the invite, now you need the dress! 
Wedding season is in full swing, so how would you like the chance to #WIN this look?

Comment below with the phrase 'Next Friday Giveaway - we love weddings!"" and we'll announce the winner here on Monday <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>

Multi Wrap Dress £68 ow.ly/vjfs30cq5ZC 
T&Cs: ow.ly/KoFo308cjEY","2017-06-16T07:00:00+0000","photo","https://www.facebook.com/nextofficial/photos/a.104416018769.91653.94971738769/10155350744693770/?type=3","94971738769_10155350744693770",NA,2376,2868,369
"30","94971738769","Next","Inflatables at the ready - half term is heeeeere! 
Who's ready for some fun in the sun?

SHOP: ow.ly/zkge30bZOYD","2017-05-29T12:00:00+0000","video","https://www.facebook.com/nextofficial/videos/10155303145543770/","94971738769_10155303145543770",NA,125,4,5
"31","94971738769","Next","***Congrats Jodie Lea, you're our winner! <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>***

GIVEAWAY TIME!
Let's give the cooler weather the cold shoulder and get set for <U+2600><U+FE0F>

To #WIN this whole look, comment below with the phrase “Next Friday Giveaway – get me summer ready!” and we’ll announce the winner here on Monday :) 

SHOP the look: ow.ly/Pdd930bseTA 
T&CS: ow.ly/KoFo308cjEY","2017-05-12T08:16:33+0000","photo","https://www.facebook.com/nextofficial/photos/a.104416018769.91653.94971738769/10155242264023770/?type=3","94971738769_10155242264023770",NA,1865,2205,345
"32","94971738769","Next","Fancy yourself as a street style photographer? Upload 3 shots featuring one Next item via the link below and if you’ve got what it takes – you could be joining us on a shoot in the US or Caribbean! #NextStreetStyle ow.ly/iTkP30bdAuq","2017-05-03T11:00:00+0000","video","https://www.facebook.com/nextofficial/videos/10155218962813770/","94971738769_10155218962813770",NA,381,16,12
"33","94971738769","Next","Wishing you a very happy Easter Sunday!

We hope you have an egg-cellent day! <ed><U+00A0><U+00BD><ed><U+00B0><U+00A3><ed><U+00A0><U+00BC><ed><U+00BD><U+00B3><ed><U+00A0><U+00BC><ed><U+00BC><U+00B8>","2017-04-16T08:00:00+0000","video","https://www.facebook.com/nextofficial/videos/10155175558598770/","94971738769_10155175558598770",NA,703,4,22
"34","94971738769","Next","Introducing nextunlimited - unlimited standard next day home delivery for just £20 a year!

More details here: ow.ly/Lgtw30aPjds","2017-04-13T10:31:50+0000","photo","https://www.facebook.com/nextofficial/photos/a.104416018769.91653.94971738769/10155174765938770/?type=3","94971738769_10155174765938770",NA,681,140,101
"35","94971738769","Next",NA,"2017-04-12T09:39:11+0000","photo","https://www.facebook.com/nextofficial/photos/a.10150704315938770.416423.94971738769/10155170602258770/?type=3","94971738769_10155170603113770","Next updated their cover photo.",942,17,17
"36","94971738769","Next","The weather is FINALLY getting the memo, so nail your spring style with our TOP tips on how to work your fave skirt and sweater over on the blog <ed><U+00A0><U+00BD><ed><U+00B1><U+0089><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC> ow.ly/FKo230akenG","2017-03-30T13:18:54+0000","link","http://blog.next.co.uk/spring-solutions-sweater-skirt","94971738769_10155117325883770",NA,245,6,8
"37","94971738769","Next",NA,"2017-03-03T09:21:52+0000","photo","https://www.facebook.com/nextofficial/photos/a.10150704315938770.416423.94971738769/10155035848513770/?type=3","94971738769_10155035848998770","Next updated their cover photo.",418,9,10
"38","94971738769","Next","Wishing you could keep it *this* effortlessly casual today?

Utility Jacket £48 ow.ly/6qFd309krYv
Sweat Dress £30-£34 ow.ly/Wlbf309ks2h
Animal Print Leather Camera Bag £38 ow.ly/31WD309ks4V","2017-02-27T10:00:01+0000","photo","https://www.facebook.com/nextofficial/photos/a.104416018769.91653.94971738769/10155017923953770/?type=3","94971738769_10155017923953770",NA,1486,29,20
"39","94971738769","Next","Your BRAND NEW Next in Aintree is now OPEN <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>
We can't wait to see you <ed><U+00A0><U+00BD><ed><U+00B8><U+0083>","2017-02-14T17:57:16+0000","photo","https://www.facebook.com/nextofficial/photos/a.104416018769.91653.94971738769/10154986404988770/?type=3","94971738769_10154986404988770",NA,2889,176,48
"40","94971738769","Next",NA,"2016-12-29T23:22:19+0000","photo","https://www.facebook.com/nextofficial/photos/a.10150704315938770.416423.94971738769/10154840626003770/?type=3","94971738769_10154840626823770","Next updated their cover photo.",714,38,21
"41","94971738769","Next",NA,"2016-12-23T12:01:42+0000","photo","https://www.facebook.com/nextofficial/photos/a.10150704315938770.416423.94971738769/10154816469028770/?type=3","94971738769_10154816473938770","Next updated their cover photo.",369,15,21
"42","94971738769","Next",NA,"2016-12-21T12:14:53+0000","photo","https://www.facebook.com/nextofficial/photos/a.10150704315938770.416423.94971738769/10154810137928770/?type=3","94971738769_10154810140738770","Next updated their cover photo.",344,12,11
