"","x"
"65","This cheetah print...But it's a close call as they're both brilliant"
"66","Both of are lovely but I had to choose it would be the zebra knit."
"67","I would prefer cheetah print skirt <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D> #TheWildestDream #OasisxZSL #WISHTOWIN  #OasisFashion"
"68","THAT I LOVE zebras and I'm in desperate need of a jumper! X"
"69","THIS Cheetah print skirt!!! It's absolutely perfect for a date day in London <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"70","This!! Perrrfect for my up and coming jollies x #oasisZSL #oasisZSL <U+2661>"
"71","decisions decisions - probably the jumper as going into autumn soon x"
"72","Loving THAT zebra knit. 
Amazing giveaway. Have liked and shared. Good luck everyone <ed><U+00A0><U+00BC><ed><U+00BD><U+0080><ed><U+00A0><U+00BD><ed><U+00B2><U+0096><U+263A><U+FE0F>"
"73","THAT top is awesome - have had my eye on this little beauty <U+2665>"
"74","THIS gorgeous skirt would be an awesome funky addition to my work wardrobe to brighten up my day! #WINIT #PRETTYPLEASE <ed><U+00A0><U+00BD><ed><U+00B8><U+0080>"
"75","THIS cheetah print skirt definitely!  #OasisxZSL #thewildestdream"
"76","Zebra knit casual and workwear 2 for the price of 1 I think"
"77","THIS! Proper summer/holiday outfit, love the animal print!"
"78","That lovely giveaway thanks for the chance liked and shared"
"79","Loving the Zebra.....(I have no zebra emoji) so I need the zebra knit pls <ed><U+00A0><U+00BD><ed><U+00B2><U+0095>"
"80","Zebra knit for sure <U+2764> #love #winit #oasis #oasiszrl"
"81","I love that zebra knit! It's gorgeous and perfect for the weather that we have at the moment! Rain!"
"82","THAT! The Zebra top is seriously cool & is the perfect transitional piece for the coming months!"
"83","That please i've only ever seen zebras on children's clothing."
"84","THAT Zebra print - totally love it #OasisxZSL #thewildestdream"
"85","Loving the ZSL prints and designs. Think I'd choose THIS cheetah print though. Love the colours <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
