"","x"
"9944","THIS palm print, lovely casual summer feel <ed><U+00A0><U+00BD><ed><U+00B8><U+008E>"
"9945","What do you reckon today Jo West? I'm leaning towards this x"
"9946","Both are lovely but I love the palm print for sunny summer days #WINIT"
"9947","Both lovely, but my favourite is THIS palm print top <ed><U+00A0><U+00BC><ed><U+00BF><U+009D><ed><U+00A0><U+00BC><ed><U+00BF><U+009D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"9948","I love THIS I am going to a garden party and would look fab in it <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B2><U+0095><ed><U+00A0><U+00BD><ed><U+00B2><U+008B>"
"9949","THIS palm print - although it was very hard to decide!"
"9950","THIS!! such a happy print! casual and perfect with trousers, shorts or skirts!"
"9951","THAT. Would love to wear it whilst eating a mint chocolate chip ice-cream. I could look cool & be cool <ed><U+00A0><U+00BD><ed><U+00B8><U+0080><ed><U+00A0><U+00BC><ed><U+00BD><U+00A6>"
"9952","THAT turquoise Bardot top is my favourite. I like the double frill and the colour would suit me better."
"9953","THIS! The palm print is amazing, would wear that everyday at the moment <ed><U+00A0><U+00BC><ed><U+00BC><U+00B4><ed><U+00A0><U+00BC><ed><U+00BC><U+00B4><ed><U+00A0><U+00BC><ed><U+00BC><U+00B4>"
"9954","Loving the THIS palm print top. Have the holiday blues so this would really cheer me up.xxx"
"9955","THIS palm print out would love to Win it.  Got red version last year love it!"
"9956","That <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> it would bring out the blue of my eyes <ed><U+00A0><U+00BD><ed><U+00B8><U+0089> Margaret Samson"
"9957","This palm print please as it's fab for summer & holiday x #WINIT Dawn Simon Thompson Joanne Bennett"
"9958","THAT please
Gorgeous tops for this weather!
Linda Will Keal Alison Burns"
"9959","That is just stunning and the colour us awesome. Rachel Ringwood x
Rebecca Roberts x"
"9960","Charlotte Southin what do you think? I'd be happy with either x"
"9961","THAT - saw it in store the other day in a coral colour, it's a lovely top"
"9962","THIS palm print looks amazing and is perfect for wearing on holiday this year."
"9963","THIS (please). It's beautiful! I wish i could buy all your clothes! <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"9964","THAT please - what a super stunning summery top perfect for dinner by the sea on holiday<ed><U+00A0><U+00BD><ed><U+00B8><U+008E><ed><U+00A0><U+00BC><ed><U+00BD><U+00B9>"
"9965","Love both of these but would have to go for THAT because I have nothing this colour. Fingers crossed x"
"9966","THIS palm print is lovely! Perfect for summer <ed><U+00A0><U+00BD><ed><U+00B8><U+008E>"
"9967","The palm print Bardot is my favourite as it is something different and cool wearing."
"9968","This nice with a pair of jeans white or blue or a denim skirt perfect for the hot weather"
"9969","#WINIT This palm print Bardot is gorgeous, perfect summery print! #oasisfashion"
"9970","THIS please, fab summer tee to wear on the beach on my holiday! <U+2665>"
"9971","This please <ed><U+00A0><U+00BD><ed><U+00B2><U+0099><ed><U+00A0><U+00BD><ed><U+00B2><U+0099><ed><U+00A0><U+00BD><ed><U+00B2><U+0099> I like the longer length and the pretty pattern"
"9972","THIS palm print bardot is so pretty. Perfect to wear this summer. Liked and shared."
"9973","I love the turquoise Bardot  it's would look gorgeous with white skinny jeans. I love the scarf round the neck idea too <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"9974","That  is georgeous liked and shared thank you for the chance to win"
"9975","Victoria here are some lovely floaty things <ed><U+00A0><U+00BD><ed><U+00B8><U+0098>"
"9976","This!!! Love it <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"9977","THIS Palm print is perfect <ed><U+00A0><U+00BD><ed><U+00B2><U+009B><ed><U+00A0><U+00BC><ed><U+00BC><U+009E>"
"9978","Love This!"
"9979","THAT . The colour is my favorite . #WINIT"
"9980","Laoise Roche the palm one deffo <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"9981","That for me"
"9982","That <U+2764><U+FE0F>would be perfect <ed><U+00A0><U+00BD><ed><U+00B1><U+008C> for my summer wardrobe"
"9983","That please"
"9984","The palm print Bardot! Lovely for summer holidays <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>"
"9985","This! The print is beautiful!"
"9986","Les 2"
"9987","THIS palm print is so summery, I <3 it! :) #winit"
"9988","This palm print bardot. <ed><U+00A0><U+00BD><ed><U+00B2><U+009B><ed><U+00A0><U+00BD><ed><U+00B1><U+0099><ed><U+00A0><U+00BC><ed><U+00BC><U+00B4>"
"9989","This! <ed><U+00A0><U+00BD><ed><U+00B1><U+008C><U+2764><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B1><U+008C> lovely print!"
"9990","Love this palm print"
"9991","THIS <ed><U+00A0><U+00BD><ed><U+00B2><U+009C>"
"9992","THIS .........please <ed><U+00A0><U+00BC><ed><U+00BC><U+00B4><ed><U+00A0><U+00BC><ed><U+00BC><U+00B4><ed><U+00A0><U+00BC><ed><U+00BC><U+00B4>"
"9993","THIS for my niece"
"9994","THIS palm print Bardot top is lovely x"
"9995","Palm print"
"9996","That ! Xx"
"9997","This <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"9998","Turquoise Bardot"
"9999","that...."
"10000","This palm print is lush!"
"10001","This definitely!  Such a pretty print"
"10002","This please"
"10003","THIS palm <ed><U+00A0><U+00BC><ed><U+00BC><U+00B4> print :)"
"10004","Love THAT turquoise bardot xx"
"10005","#WHAT IS A NICE DRESS.<U+2764><U+2764><U+2764> LIKE AND SHARE
Jassi Ri"
"10006","My wardrobe is needing THIS palm tree bardot badly!! <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"10007","That! Love them both but that is amazing!"
"10008","Love THAT"
"10009","THIS is my favourite <U+2764><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"10010","Love THIS"
"10011","This!!"
"10012","That turquoise Bardot"
"10013","This please it's fab!! Liked and shared <U+2728><ed><U+00A0><U+00BD><ed><U+00B2><U+0095><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B2><U+009E>"
"10014","That <3"
"10015","THIS deffinately love x"
"10016","This- the palm print one<ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BC><ed><U+00BC><U+00B4><U+2600><U+FE0F><ed><U+00A0><U+00BC><ed><U+00BF><U+009D>"
"10017","This definitely!  It's very edgy!"
"10018","THIS <ed><U+00A0><U+00BD><ed><U+00B2><U+0095><ed><U+00A0><U+00BD><ed><U+00B2><U+0095><ed><U+00A0><U+00BD><ed><U+00B2><U+0095><ed><U+00A0><U+00BD><ed><U+00B2><U+0095>"
"10019","That, what a lovely colour!"
"10020","THAT love the colour"
"10021","This!I love that its cream"
"10022","This Palm Print"
"10023","THIS palm print is lovely"
"10024","THIS, so very pretty  :-)"
"10025","THIS palm print is perfect summer chic"
"10026","Love <U+2764><U+FE0F> THAT Turquoise Bardot"
"10027","Turquoise ... reminds me of a tropical summers day <ed><U+00A0><U+00BD><ed><U+00B8><U+008E><ed><U+00A0><U+00BD><ed><U+00B8><U+008E><ed><U+00A0><U+00BD><ed><U+00B8><U+008E>"
"10028","This x"
"10029","This oh I do like to be beside the seaside xx"
"10030","Palm <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>Geweldige actie <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D> ik waag een poging<ed><U+00A0><U+00BD><ed><U+00B8><U+0081><ed><U+00A0><U+00BD><ed><U+00B8><U+0081><ed><U+00A0><U+00BD><ed><U+00B8><U+0081> toi toi toi <ed><U+00A0><U+00BE><ed><U+00B4><U+0097><ed><U+00A0><U+00BE><ed><U+00B4><U+0097><ed><U+00A0><U+00BE><ed><U+00B4><U+0097>"
"10031","THIS Palm print bardot top. ..love it!!"
"10032","<U+2764><U+FE0F> this"
"10033","Oh i love THAT!!!"
"10034","THIS :)"
"10035","THAT <ed><U+00A0><U+00BD><ed><U+00B8><U+0083>"
"10036","Turquoise bardot"
"10037","Both but this just wins<ed><U+00A0><U+00BD><ed><U+00B2><U+0095>"
"10038","This <ed><U+00A0><U+00BC><ed><U+00BC><U+00B4>"
"10039","That  , love the colour! X"
"10040","Love THIS palm print =)"
"10041","THIS Palm print <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>
Gorgeous"
"10042","THIS :D :D :D"
"10043","This!"
"10044","THIS palm print bardot  x"
"10045","This!"
"10046","I Love the Palm Print top"
"10047","THIS palm print bardot"
"10048","THAT but tough choice both nice WIN IT"
"10049","THIS love the palm print <ed><U+00A0><U+00BC><ed><U+00BC><U+00B4><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BC><ed><U+00BC><U+00B4>"
"10050","This <U+2764><U+2764> xx"
"10051","palm print bardot - beautiful <3 xxx"
"10052","I love THIS <3 :)"
"10053","I love that please x X"
"10054","This <U+2764><U+FE0F>"
"10055","Love anything with a print <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> THIS for me #winit"
"10056","THIS the palm print bardot"
"10057","Ohhhhhh THIS is right up my street!"
"10058","Argh! I love them both

That I guess"
"10059","Palm print <ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD>"
"10060","This! Looks fab with denim #WINIT"
"10061","This. <U+2600><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"10062","This palm print bardot"
"10063","THIS palm print it's so fresh and beautiful"
"10064","THIS palm print Bardot please....I love it <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>"
"10065","THIS.Love that print! <ed><U+00A0><U+00BD><ed><U+00B2><U+0093>"
"10066","This palm print Bardot <U+2764>"
"10067","It has to be THIS palm print bardot <ed><U+00A0><U+00BC><ed><U+00BC><U+00B4><U+2600><U+FE0F>"
"10068","This please"
"10069","THAT cold shoulder, love the colour x"
"10070","THAT!"
"10071","THIS. Is beautiful <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"10072","THAT turquoise bardot. Stunning colour!"
"10073","Oooh THIS palm print is gorgeous! #WINIT <ed><U+00A0><U+00BC><ed><U+00BC><U+00B4><ed><U+00A0><U+00BC><ed><U+00BC><U+00B4><ed><U+00A0><U+00BC><ed><U+00BC><U+00B4>"
"10074","That please"
"10075","THIS palm print Bardot :)"
"10076","Definitely this palm print x"
"10077","THIS palm print bardot, please!! <ed><U+00A0><U+00BD><ed><U+00B8><U+0080> <ed><U+00A0><U+00BC><ed><U+00BC><U+00B4>"
"10078","#THIS would be lovely for my hols!x"
"10079","'This' please. Would be lovely for the summer <ed><U+00A0><U+00BE><ed><U+00B4><U+0097>"
"10080","love the palm print!"
"10081","I love THAT turquoise bardot"
"10082","The palm print is lovely"
"10083","This please :)"
"10084","THIS palm print Bardot #WINIT"
"10085","Love THIS palm print x"
"10086","The palm print! Fingers crossed!"
"10087","THIS palm print please :) #WINIT"
"10088","THIS palm print!"
"10089","THIS palm print Bardot <ed><U+00A0><U+00BC><ed><U+00BC><U+00B4>"
"10090","THIS please <ed><U+00A0><U+00BD><ed><U+00B8><U+0080>"
"10091","This!!!"
"10092","Love both but adore turquoise"
"10093","Love this."
"10094","This palm print please"
"10095","THAT Turquoise Bardot"
"10096","THIS <ed><U+00A0><U+00BC><ed><U+00BC><U+00B4><ed><U+00A0><U+00BC><ed><U+00BC><U+00B4>"
"10097","THAT <ed><U+00A0><U+00BD><ed><U+00B2><U+0096>"
"10098","Palm print for me but both gorgeous <U+263A><U+FE0F>."
"10099","THIS palm print bardot - lovely!"
"10100","Love the THIS x"
"10101","THIS palm print bardot top <3 it xx"
"10102","This. Love a little print xx"
"10103","THIS love it!"
"10104","This please"
"10105","This palm print Bardot! Looks beautiful"
"10106","THIS for me - love the print"
"10107","This x"
"10108","I love #THIS palm print top"
"10109","Love both, but this,palm pattern is my favourite x"
"10110","Palm print is lovely <ed><U+00A0><U+00BC><ed><U+00BC><U+00B4><ed><U+00A0><U+00BC><ed><U+00BC><U+00B4><ed><U+00A0><U+00BC><ed><U+00BC><U+00B4><ed><U+00A0><U+00BC><ed><U+00BC><U+00B4>"
"10111","THAT turquoise Bardot top"
"10112","Defo this!<U+2764><U+FE0F>"
"10113","palms - stunning"
"10114","That <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"10115","#this palm print please! Liked and shared <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"10116","This please<ed><U+00A0><U+00BD><ed><U+00B8><U+008A>"
"10117","THIS! I love a good pattern :)"
"10118","This palm tree tip is so cute! Perfect for holiday!"
"10119","THIS <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"10120","Wow loving THIS <ed><U+00A0><U+00BD><ed><U+00B2><U+0096>"
"10121","This <ed><U+00A0><U+00BD><ed><U+00B1><U+008D>"
"10122","This! It's so summery!"
"10123","THAT top please such a lovely summer colour"
"10124","This palm print bardot <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"10125","This <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"10126","that please"
"10127","This!"
"10128","THIS palm print bardot <U+2764><U+FE0F>"
"10129","THIS palm print please x"
"10130","THIS it's lovely <U+2764><U+FE0F>#oasisclothes #winit"
"10131","Love THIS palm print bardot! <ed><U+00A0><U+00BD><ed><U+00B2><U+0097>"
"10132","THIS please"
"10133","THIS palm print. #WINIT <ed><U+00A0><U+00BE><ed><U+00B4><U+009E><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>"
"10134","THIS palm print please!"
"10135","This!"
"10136","THIS palm print Bardot is gorgeous xx"
"10137","THIS Palm Print, whats not to love?! :)"
"10138","THAT is a winner x"
"10139","This please"
"10140","THIS - love that palm print"
"10141","That <U+2764><U+FE0F>"
"10142","THIS  pls <3"
"10143","That stunning colour x"
"10144","Think I'm liking that turquoise best x"
"10145","THIS pretty bardot top with palm <ed><U+00A0><U+00BC><ed><U+00BC><U+00B4> print is SO summery <U+2600>"
"10146","This! <ed><U+00A0><U+00BC><ed><U+00BC><U+00B4>Only just though <ed><U+00A0><U+00BD><ed><U+00B2><U+0095> both beautiful x"
"10147","'This' for me!! Love, love, love the palm print <ed><U+00A0><U+00BD><ed><U+00B2><U+0097> <ed><U+00A0><U+00BC><ed><U+00BC><U+00B4> xx"
"10148","THIS palm print is lush #WINIT"
"10149","THIS palm print Bardot pretty please!"
"10150","THIS!"
"10151","THIS please is so pretty"
"10152","Love this palm print"
"10153","that please"
"10154","THAT is right up my street"
"10155","THIS palm print :)"
"10156","THIS palm print 1 definitely <ed><U+00A0><U+00BD><ed><U+00B2><U+0095>"
"10157","Loving this!"
"10158","THIS <ed><U+00A0><U+00BC><ed><U+00BC><U+00B4><ed><U+00A0><U+00BC><ed><U+00BC><U+00B4><ed><U+00A0><U+00BC><ed><U+00BC><U+00B4> #WINIT"
"10159","Palm print is my fave. X"
"10160","This palm print! X"
"10161","Love THIS. Just love oasis 2017 SS this year x"
"10162","That x"
"10163","This plz xx"
"10164","THIS palm print bardot"
"10165","Really really like This palm tree one.. x"
"10166","This palm print top!!!! Love it!!"
"10167","This palm print! :)"
"10168","Turquoise bardot...fab summer colour <ed><U+00A0><U+00BD><ed><U+00B2><U+0097>"
"10169","THIS palm print bardot"
"10170","THIS Palm Print Bardot <ed><U+00A0><U+00BC><ed><U+00BC><U+00B4><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BE><ed><U+00B4><U+009E><ed><U+00A0><U+00BC><ed><U+00BD><U+0080>"
"10171","That turquoise top is lovely, thank you <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>"
"10172","Ooh that's a hard one
I'd say this palm print"
"10173","#winit the turquoise one. My best friend has the other one already. X"
"10174","The Palm print all the way!!"
"10175","This would be super for my holiday"
"10176","THIS Palm print is my fave <ed><U+00A0><U+00BC><ed><U+00BE><U+0089>"
"10177","This please"
"10178","THIS please"
"10179","THIS <U+2764><U+FE0F>"
"10180","THIS!!<ed><U+00A0><U+00BD><ed><U+00B2><U+008B>"
"10181","Palm print <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D> i loved the print"
"10182","This :)"
"10183","This <U+2661>"
"10184","Pal print, GORGEOUS x"
"10185","This.  Love both though"
"10186","THIS palm print <ed><U+00A0><U+00BC><ed><U+00BC><U+00B4>"
"10187","This <ed><U+00A0><U+00BD><ed><U+00B8><U+008A><ed><U+00A0><U+00BD><ed><U+00B8><U+008A> love oasis clothing!"
"10188","This palm print <ed><U+00A0><U+00BD><ed><U+00B8><U+0084> x"
"10189","THIS <ed><U+00A0><U+00BD><ed><U+00B2><U+009C> thanks for the chance <ed><U+00A0><U+00BD><ed><U+00B8><U+0083> x"
"10190","That."
"10191","THIS <ed><U+00A0><U+00BD><ed><U+00B9><U+0082><ed><U+00A0><U+00BD><ed><U+00B2><U+0095>"
"10192","Turquoise!"
"10193","I prefer the turqoise <3"
"10194","I love This.  Fab giveaway.  <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"10195","This palm print Bardot"
"10196","THIS please <U+2764><U+FE0F>"
"10197","Loving this x"
"10198","THIS <ed><U+00A0><U+00BC><ed><U+00BC><U+00B4><ed><U+00A0><U+00BC><ed><U+00BC><U+00B4>"
"10199","This. Lovely top. xxx"
"10200","THIS palm print bardot for my wife please."
"10201","that turquoise one please"
"10202","This!!!"
"10203","THAT #WINIT"
"10204","That #winit Turquoise"
"10205","THIS palm bardot - love it! #WINIT"
"10206","This"
"10207","I like this, the palm print x"
"10208","Definitely THIS! Xx"
"10209","This Palm print #WINIT"
"10210","This palm print #WINIT"
"10211","THIS please! It's a gorgeous top <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"10212","This is amazing"
"10213","This <3"
"10214","This <ed><U+00A0><U+00BD><ed><U+00B8><U+0081>"
"10215","Love Both. First Choice This"
"10216","This! Love a print <ed><U+00A0><U+00BC><ed><U+00BC><U+00B4><ed><U+00A0><U+00BC><ed><U+00BC><U+00B4><ed><U+00A0><U+00BC><ed><U+00BC><U+00B4>"
"10217","THIS for me.  It's lovely"
"10218","This palm print is lovely"
"10219","Love the Palm Print <ed><U+00A0><U+00BC><ed><U+00BC><U+00B4>"
"10220","This <ed><U+00A0><U+00BE><ed><U+00B4><U+009E><ed><U+00A0><U+00BD><ed><U+00B2><U+009C>"
"10221","This <ed><U+00A0><U+00BD><ed><U+00B8><U+0080>"
"10222","Palm
Print<U+2764><U+FE0F>"
"10223","Palm print top"
"10224","Love THIS palm print"
"10225","love THIS palm print! Lovely and summery <ed><U+00A0><U+00BD><ed><U+00B8><U+0081>"
"10226","THIS #WINIT Love both the summer looks xXx"
"10227","This!"
"10228","This! It's gorgeous!!! X"
"10229","This<ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"10230","That!! Please"
"10231","That Turquoise bardot! love the colour x"
"10232","Love the palm print bardot <3 <3"
"10233","This palm print bardot! <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"10234","This for me! <ed><U+00A0><U+00BC><ed><U+00BC><U+00B4>"
"10235","That for me, it is such a lovely colour"
"10236","THIS Palm print top please! Xx"
"10237","THIS palm print is lovely <ed><U+00A0><U+00BD><ed><U+00B9><U+0082> #WINIT!!!!"
"10238","Yay. THIS ....love that print :)"
"10239","Turquoise bardot"
"10240","This xx gorgeous xx"
"10241","THIS! <U+2764>"
"10242","Turquoise"
"10243","Love THAT turquoise bardot top"
"10244","palm print bardot <U+2764><U+FE0F><U+2764><U+FE0F>"
"10245","This!"
"10246","This palm print bardot"
"10247","THIS <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><U+2764><U+FE0F>"
"10248","This <ed><U+00A0><U+00BD><ed><U+00B8><U+008A><ed><U+00A0><U+00BD><ed><U+00B8><U+008A>"
"10249","LOVE This palm print bardot <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> so cute  xx"
"10250","Definitely THIS. So pretty"
"10251","THIS <ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>"
"10252","THAT turquoise bardot <3"
"10253","THIS perfect for summer and this sunshine! <U+2600><U+FE0F>"
"10254","THAT!!! <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"10255","This palm print. Very nice <ed><U+00A0><U+00BD><ed><U+00B1><U+008D>"
"10256","Definitely the palm print!"
"10257","This love it x"
"10258","This palm print <ed><U+00A0><U+00BD><ed><U+00B8><U+0080><ed><U+00A0><U+00BC><ed><U+00BC><U+00B4><ed><U+00A0><U+00BD><ed><U+00B8><U+0080>"
"10259","The turquoise one please would love to #winit"
"10260","This <U+2764><U+FE0F>"
"10261","that plz !"
"10262","THIS
<U+2600><U+2600><U+2600><U+2600><ed><U+00A0><U+00BD><ed><U+00B8><U+008E>"
"10263","This <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"10264","This <U+2600><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B2><U+0099><ed><U+00A0><U+00BC><ed><U+00BC><U+00B4>"
"10265","This palm print :D"
"10266","THIS :)"
"10267","Love the palm print <ed><U+00A0><U+00BC><ed><U+00BC><U+00B4> <ed><U+00A0><U+00BE><ed><U+00B4><U+009E><ed><U+00A0><U+00BD><ed><U+00B2><U+0095>"
"10268","This please x"
"10269","Love the palm print!"
"10270","That, very classy x"
"10271","Turquoise is lovely :)"
"10272","THIS palm print is so cute! <ed><U+00A0><U+00BC><ed><U+00BC><U+00B4>"
"10273","That turquoise Bardot please. Love the colour <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>"
"10274","So pretty, I love THAT turquoise bardot. What a beautiful colour. X"
"10275","THIS!!! Love the palm print"
"10276","This please x <ed><U+00A0><U+00BC><ed><U+00BC><U+00B4>"
"10277","THAT gorgeous turquoise colour"
"10278","Palm print top please <ed><U+00A0><U+00BD><ed><U+00B2><U+009A>"
"10279","THIS please"
"10280","This please"
"10281","The palm print"
"10282","That!"
"10283","THIS palm print xx"
"10284","This palm print!"
"10285","Palm print is lovely x"
"10286","That turquoise one please"
"10287","Most definitely the gorgeous 'this' top! X"
"10288","THIS <ed><U+00A0><U+00BC><ed><U+00BC><U+008A><ed><U+00A0><U+00BC><ed><U+00BC><U+00B4>"
"10289","This <ed><U+00A0><U+00BD><ed><U+00B2><U+0095>"
"10290","Loving THIS"
"10291","This <3"
"10292","THIS please!! How beautiful <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> x"
"10293","That turquoise Bardot....gorgeous x"
"10294","Loving the palm print <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"10295","THIS Palm print bardot"
"10296","THIS is lovely <U+263A>"
"10297","That cause I love that green colour"
"10298","THIS palm print, gorgeous!! <ed><U+00A0><U+00BC><ed><U+00BC><U+00B4>"
"10299","Turquoise one"
"10300","This! Perfect summer style! <ed><U+00A0><U+00BD><ed><U+00B8><U+008E>"
"10301","THIS, love it! <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"10302","Ohh definitely THIS palm print bardot!!!"
"10303","This palm print top <ed><U+00A0><U+00BD><ed><U+00B2><U+0095>"
"10304","Love this palm print x"
"10305","I love 'THIS' palm tree bardot :)"
"10306","THIS! Cute print x"
"10307","This palm pretty please <ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>"
"10308","This palm print top is perfect for summer"
"10309","This <U+263A><U+FE0F>"
"10310","THIS <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"10311","Hi lovin this"
"10312","I like both, but prefer This <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>"
"10313","That! <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"10314","This please"
"10315","This# great 4 the summer <ed><U+00A0><U+00BC><ed><U+00BC><U+00BB><ed><U+00A0><U+00BC><ed><U+00BC><U+00BC><ed><U+00A0><U+00BC><ed><U+00BC><U+00B7><ed><U+00A0><U+00BC><ed><U+00BC><U+00B8><ed><U+00A0><U+00BC><ed><U+00BC><U+00BA><ed><U+00A0><U+00BD><ed><U+00B8><U+008E><ed><U+00A0><U+00BC><ed><U+00BC><U+009E>"
"10316","THIS x"
"10317","This..the print on it is gorgeous <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>"
"10318","This and that. Both gorgeous <U+2764><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B2><U+0095>"
"10319","THIS. Really pretty design. x"
"10320","THIS please :)"
"10321","THIS palm print bardot."
"10322","THAT. Love turquoise."
"10323","This palm print"
"10324","THIS <ed><U+00A0><U+00BD><ed><U+00B2><U+0095><U+2600><U+FE0F>"
"10325","This <ed><U+00A0><U+00BC><ed><U+00BC><U+009E><ed><U+00A0><U+00BC><ed><U+00BC><U+009E>"
"10326","THAT!<ed><U+00A0><U+00BC><ed><U+00BC><U+009E><ed><U+00A0><U+00BD><ed><U+00B8><U+008E>"
"10327","This palm print top! <U+2764><U+FE0F>"
"10328","THIS!
So summery!! <ed><U+00A0><U+00BC><ed><U+00BC><U+00B4><ed><U+00A0><U+00BC><ed><U+00BC><U+00B4><ed><U+00A0><U+00BC><ed><U+00BC><U+00B4>"
"10329","THIS 
Thanks for the chance to win! <ed><U+00A0><U+00BC><ed><U+00BD><U+0080>"
"10330","THIS but they are both gorgeous! <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"10331","That please I love the colour."
"10332","That is sooo lovely"
"10333","This <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> although I love them both"
"10334","I love this!!!!"
"10335","Definitely THIS perfect for the summer <U+2764><U+FE0F>"
"10336","THAT! Beautiful fit and colour!"
"10337","THIS palm print, lovely. <ed><U+00A0><U+00BC><ed><U+00BC><U+00B4>"
"10338","THIS palm print <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"10339","Both beautiful but I think I prefer THIS <U+263A><U+FE0F>"
"10340","This palm print Bardot <ed><U+00A0><U+00BD><ed><U+00B2><U+0096>"
"10341","<ed><U+00A0><U+00BD><ed><U+00B2><U+0096>THAT<ed><U+00A0><U+00BD><ed><U+00B2><U+0096>"
"10342","Palm print xxx"
"10343","That <ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+0098>"
"10344","This <ed><U+00A0><U+00BD><ed><U+00B2><U+0095>"
"10345","This <ed><U+00A0><U+00BD><ed><U+00B1><U+008C>"
"10346","THAT turquoise Bardot . <U+2764><U+FE0F> it x"
"10347","Palm print  <ed><U+00A0><U+00BC><ed><U+00BC><U+00B4>"
"10348","This is gorgeous"
"10349","Turquoise"
"10350","Like both. Liked n shared."
"10351","This <ed><U+00A0><U+00BC><ed><U+00BC><U+00B4>"
"10352","THIS - LOVE THEM!!"
"10353","Both lovely, but I'd go with that.x"
"10354","THIS palm print Bardot"
"10355","THIS palm print bardot"
"10356","This!"
"10357","THIS Palm Print x"
"10358","This x"
